Title,Author,Year,Link,Snippet
… of Vertical Electrical Sounding (VES) and Two-Dimensional (2-D) Imaging Methods for Groundwater Exploration and Basement Configuration at GOFAMINT …,"['A Ibrahim', 'HJ Izge', 'MB Aminu']",2023,https://atbuscienceforum.com.ng/index.php/jpas/article/download/97/93,
APPLICATION OF VERTICAL ELECTRICAL SOUNDING TECHNIQUE IN BUILDING FOUNDATION INVESTIGATION IN ILISHAN-REMO SOUTHWESTERN NIGERIA,"['KO Agbo', 'KD Olusegun', 'AO Olajide']",2025,https://journals.ust.edu/index.php/JST/article/view/3008,
Characterization of subsurface lithology and aquifer parameters using vertical electrical sounding (VES) for groundwater development in Igbo-Imabana …,"['P Obasi', 'A Ekinya', 'C Akpa', 'E Edene']",2022,https://www.academia.edu/download/121581813/3886.pdf,
"The Application of Vertical Electrical Sounding for the Geophysical and Hydrogeological Investigation in University of Benin Area, Nigeria","['M Ilevbare', 'AK Ogundana']",2022,http://journals.abuad.edu.ng/aijnas/article/view/34,
Geophysical characterization of the basement rocks and groundwater potential zones using electrical resistivity sounding technique,"['P Ijila', 'O Kolebaje', 'A Ojo']",2018,https://www.researchgate.net/profile/Akintayo-Ojo/publication/379807552_Geophysical_Characterization_of_the_Basement_Rocks_and_Groundwater_Potential_Zones_Using_Electrical_Resistivity_Sounding_Technique/links/661b139966ba7e2359c999c9/Geophysical-Characterization-of-the-Basement-Rocks-and-Groundwater-Potential-Zones-Using-Electrical-Resistivity-Sounding-Technique.pdf,
"Geophysical Verification of Minor Fault Mechanics using Vertical Electrical Sounding survey in Ibadan and Ijebu-Ode, Southwestern Nigeria","['A Ikusika', 'JO Aramide', 'OE Aratunde']",2025,http://jirbdai.com.ng/index.php/jirbdai/article/view/86,
"Vertical electrical sounding (VES) methods to delineate potential groundwater aquifers in Akobo area, Ibadan, South-western, Nigeria",['JO Coker'],2012,https://www.academia.edu/download/87881563/D17EB749903.pdf,
Vertical Electrical Sounding to Determine Fracture Distribution,"['AA Area', 'SN Oniye']",NA,https://www.researchgate.net/profile/Adagunodo-Aanuoluwa/publication/271258400_Vertical_Electrical_Sounding_to_Determine_Fracture_Distribution_At_Adumasun_Area_Oniye_Southwestern_Nigeria/links/574c679308ae061b32fe7bf2/Vertical-Electrical-Sounding-to-Determine-Fracture-Distribution-At-Adumasun-Area-Oniye-Southwestern-Nigeria.pdf?origin=journalDetail&_tp=eyJwYWdlIjoiam91cm5hbERldGFpbCJ9,
"… VERY LOW FREQUENCY–ELECTROMAGNETIC (VLF-EM) TECHNIQUES AT SITE “G” AROUND IBADAN METROPOLIS, SOUTHWESTERN BASEMENT …","['A Ibrahim', 'HJ Izge', 'MAB Aminu']",2024,https://www.researchgate.net/profile/Jubril-Hassan-3/publication/380169723_GEOPHYSICAL_CHARACTERIZATION_OF_BASEMENT_ROCK_FOR_GROUNDWATER_AND_MINERALIZATION_POTENTIAL_USING_VERY_LOW_FREQUENCY_-_ELECTROMAGNETIC_VLF-EM_TECHNIQUES_AT_SITE_G_AROUND_IBADAN_METROPOLIS_SOUTHWESTERN_/links/662f6b3a08aa54017acb0c6f/GEOPHYSICAL-CHARACTERIZATION-OF-BASEMENT-ROCK-FOR-GROUNDWATER-AND-MINERALIZATION-POTENTIAL-USING-VERY-LOW-FREQUENCY-ELECTROMAGNETIC-VLF-EM-TECHNIQUES-AT-SITE-G-AROUND-IBADAN-METROPOLIS-SOUTHWESTERN.pdf,
Subsurface characterization for foundation valuation of existing engineering structures in basement complex of southwestern Nigeria,"['S Olatunji', 'NK Olasunkanmi', 'UZ Magawata']",2025,https://www.scielo.org.mx/scielo.php?pid=S0016-71692025000201533&script=sci_arttext&tlng=en,
Assessment of Groundwater Potential Regions Using VLF-EM and VES Techniques on a Basement Complex of Southwestern Nigeria,"['IO Idowu', 'AO Ojo']",NA,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4761330,
Groundwater prospect within Basement Complex terrain of SW-Nigeria using Vertical Electrical Sounding,['S Oke'],NA,https://www.academia.edu/download/33135177/Groundwater_Prospect_within_Basement_Complex_of_South-western_Nigeria_Using_Vertical_Electrical_Sounding.pdf,
Evaluation of vertical electrical sounding method for groundwater development in basement complex terrain of west-central Nigeria,"['AK Olawuyi', 'SB Abolarin']",2013,https://journal.njtd.com.ng/index.php/njtd/article/view/54,
"Combined VLF-EM and geoelectric sounding for groundwater development in a typical basement complex terrian of South Western, Nigeria","['OP Olabode', 'JT Fatoba', 'SO Ariyo']",2017,https://www.researchgate.net/profile/Oladunjoye-Peter-Olabode/publication/319154055_COMBINED_VLF-EM_AND_GEOELECTRIC_SOUNDING_FOR_GROUNDWATER_DEVELOPMENT_IN_A_TYPICAL_BASEMENT_COMPLEX_TERRIAN_OF_SOUTH_WESTERN_NIGERIA/links/59955de3a6fdccaded2548c1/COMBINED-VLF-EM-AND-GEOELECTRIC-SOUNDING-FOR-GROUNDWATER-DEVELOPMENT-IN-A-TYPICAL-BASEMENT-COMPLEX-TERRIAN-OF-SOUTH-WESTERN-NIGERIA.pdf,
"The use of geological-based geophysical surveys for groundwater distribution in crystalline basement terrain, SW Nigeria","['KD Oyeyemi', 'AP Aizebeokhai']",2018,https://iopscience.iop.org/article/10.1088/1755-1315/173/1/012029/meta,
Hydrogeological appraisal of basement and sedimentary terrain in Ogun state using Geo-electrical methods,"['AA Ige', 'J Coker', 'OE Agbasi', 'N Inyang']",2020,https://www.researchgate.net/profile/Namdie-Inyang/publication/343224355_Hydrogeological_appraisal_of_basement_and_sedimentary_terrain_in_Ogun_state_using_Geoelectrical_methods/links/5f1de621299bf1720d67f5ad/Hydrogeological-appraisal-of-basement-and-sedimentary-terrain-in-Ogun-state-using-Geoelectrical-methods.pdf?origin=journalDetail&_tp=eyJwYWdlIjoiam91cm5hbERldGFpbCJ9,
"Application of Vertical Electrical Sounding (VES) for the Determination of Water-Bearing Zone in Karaworo, Lokoja Kogi State, Nigeria","['I Abdulbariu', 'AL Omeneke', 'M Baba Aminu']",2023,https://www.academia.edu/download/111432940/1426.pdf,
Mapping Precambrian Aquifer Architecture in fractured hydrogeological setting with vertical electrical sounding,"['AF Folorunso', 'SO Ariyo', 'EA Ayolabi']",2013,https://www.researchgate.net/profile/Adetayo-Folorunso/publication/259005185_Mapping_Precambrian_Aquifer_Architecture_in_Fractured_Hydrogeological_Setting_with_Vertical_Electrical_Sounding/links/560524b908aea25fce321a2c/Mapping-Precambrian-Aquifer-Architecture-in-Fractured-Hydrogeological-Setting-with-Vertical-Electrical-Sounding.pdf,
Geophysical analysis of basement terrain groundwater using vertical electrical sounding: a case study of parts of Abuja North Central Nigeria,"['O Maxwell', 'EJ Ejike', 'PE Ugwuoke']",2015,https://www.academia.edu/download/78492365/8990739.pdf,
"Application of Electrical Resistivity survey for groundwater investigation in a Basement rock region: a case study of Akobo-Ibadan, Nigeria","['LI Nwankwo', 'PI Olasehinde']",2013,https://search.proquest.com/openview/d7ca064c66964fa94e9c76dfd156f2a9/1?pq-origsite=gscholar&cbl=136188,
