Title,Author,Year,Link,Snippet
Hybrid Machine Learning and Geophysical Inversion Framework for High-Resolution Mapping of Critical Minerals in Precambrian Terrains of Nigeria,"['DS Adepehin', 'YP Anyanwu']",2025,https://www.researchgate.net/profile/Damilare-Adepehin/publication/399585495_Hybrid_Machine_Learning_and_Geophysical_Inversion_Framework_for_High-Resolution_Mapping_of_Critical_Minerals_in_Precambrian_Terrains_of_Nigeria/links/69603383f357373034e1100a/Hybrid-Machine-Learning-and-Geophysical-Inversion-Framework-for-High-Resolution-Mapping-of-Critical-Minerals-in-Precambrian-Terrains-of-Nigeria.pdf,
"… Ensemble Learning Models for Predicting Spatial Apparent Resistivity Distribution around a Cemetery Site: A Case Study of Ejigbo Cemetery in Osun State, Nigeria","['FM Alani', 'IK Ogundoyin', 'TA Ogunleye', 'AD Kehinde']",2025,https://www.sciencedirect.com/science/article/pii/S3050475925006190,
Machine-learning-integrated hydrogeophysical–geochemical assessment of soil–water interface dynamics for groundwater sanitation in Akwa Ibom State University …,"['NJ George', 'AM Ekanem', 'OE Agbasi', 'JC Ibuot']",2026,https://link.springer.com/article/10.1007/s42108-026-00487-8,
Machine Learning Methods for 2D Electrical Resistivity Inversion Applied to Hydrogeological Subsurface Characterization,['A Jamil'],2025,https://search.proquest.com/openview/622996c3be1f26b31165239b37a6bdb3/1?pq-origsite=gscholar&cbl=18750&diss=y,
"Systematic Review of Machine Learning Applications in Geophysics: Integrating Seismic, Potential Field, Geological Modelling, and Natural Hazard Domains","['BA Ojulari', 'MD Adewale']",2025,https://ieeexplore.ieee.org/abstract/document/11299621/,
"Predictive hydrogeophysical modelling of subsurface conditions using geo-electrical data along a water channel in Akwa Ibom State, Southern Nigeria","['KR Ekanem', 'NJ George', 'AM Ekanem']",2025,https://www.rejost.com.ng/index.php/home/article/view/196,
Electrical Resistivity Techniques and Hydraulic Analysis for Groundwater Management under Climate Stress: Implications for Irrigation in Coastal West Africa,"['C Molua', 'A Ukpene', 'J Morka', 'E Belonwu']",2025,https://www.researchsquare.com/article/rs-8290741/latest,
Groundwater Exploration Methods in West Africa: A Review.,"['V Mensah', 'CD Boateng', 'SSR Gidigasu', 'DD Wemegah']",2024,https://eartharxiv.org/repository/view/7445/,
"Data-Driven Assessment of Groundwater Potential, Quality and Surface Drainage Through Field, Laboratory and Remote Sensing Inversions at Akwa Ibom State …","['N George', 'N Bassey']",NA,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5362570,
Geophysical Investigation for Marl Exploration Using Vertical Electrical Sounding in Akpokponke Ibii Afikpo Southeast Nigeria,"['AI Chinaka', 'AC Ezebunanwa']",2025,https://repository.rsis.international/ijrsi/12/8/geophysical-investigation-for-marl-exploration-using-vertical-electrical-sounding-in-akpokponke-ibii-afikpo-southeast-nigeria-206,
"Generic comparison of ISM and LSIT interpretation of geo-resistivity technology data, using constraints of ground truths: a tool for efficient explorability of groundwater …","['NJ George', 'KR Ekanem', 'AM Ekanem', 'NI Udosen']",2022,https://link.springer.com/article/10.1007/s11600-022-00794-8,
"2D electrical resistivity inversion and ground penetrating radar investigation of near surface cave in New Netim area, southeastern Nigeria","['ED Ebong', 'AM George', 'SE Ekwok', 'AE Akpan']",2021,https://link.springer.com/article/10.1007/s40328-021-00364-2,
"Geological and Geophysical Analysis of Uru-Ugworji Diorite in Lokpanukwu, Southeastern Nigeria: Implications for Mineral Exploration and Quarrying","['NOC Victor', 'IS Sinneh']",2026,https://www.igi-global.com/chapter/geological-and-geophysical-analysis-of-uru-ugworji-diorite-in-lokpanukwu-southeastern-nigeria/406910,
Hybrid Machine Learning Framework for Seismic Velocity Inversion,['E Okpo'],2026,https://essopenarchive.org/doi/full/10.22541/essoar.177099432.27567143,
Application of Generative Adversarial Networks in Geoelectrical Field Data Interpretation,"['MH Shahnas', 'OM Alile', 'RN Pysklywec']",2024,https://www.researchsquare.com/article/rs-5419015/latest,
"Review of Seismic Data Processing Techniques in Oil and Gas Exploration: Methods, Challenges, Applications, and Future Trends","['N Umoren', 'MI Odum', 'ID Jason', 'DD Jambol']",2021,https://www.multidisciplinaryfrontiers.com/uploads/archives/20250723130612_FMR-2025-2-025.1.pdf,
"Delineation of potential gold mineralization Zones in the Kushaka Schist Belt, Northcentral Nigeria, using geochemical, ground magnetic, induced polarization, and …","['SO Sanusi', 'DIA Josiah', 'O Olaniyan']",2024,https://link.springer.com/article/10.1007/s42461-024-01033-y,
"… investigation for shallow-scale massive (Pb-Zn) sulphide and barite exploration in the Abakaliki and Obubra Mining Districts (AOMD), Southeastern Nigeria","['IJ Arinze', 'CO Emedo']",2021,https://link.springer.com/article/10.1007/s42461-020-00341-3,
"Mechanistic understanding of electrical prospecting for aquifer systems adjacent to main river channels and their tributaries in Akwa Ibom, Southern Nigeria …","['KR Ekanem', 'NJ George', 'AM Ekanem']",2025,https://link.springer.com/article/10.1007/s11852-025-01133-x,
A review of various analytical techniques for estimating subsurface heat flow regimes from aero-geophysical data,"['CC Ikechukwu', 'AI Opara', 'SO Onyekuru']",2025,https://link.springer.com/article/10.1007/s12517-025-12267-5,
